time,patchID,bWeightHuman,bWeightZoo,bWeightZootox,kappa
192,9,0,0,0,0
193,1,493,0,0,0.000304876799474936
193,2,495,0,0,0.0009109311740891
193,3,4,0,0,0
193,4,0,0,0,0
193,5,0,0,0,0
193,6,2,0,0,0
193,7,1,0,0,0
193,8,0,0,0,0
193,9,0,0,0,0
194,1,492,0,0,0.000305497717072104
194,2,495,0,0,0.00121396147711937
194,3,3,0,0,0
194,4,0,0,0,0
194,5,0,0,0,0
194,6,4,0,0,0
194,7,1,0,0,0
194,8,0,0,0,0
194,9,0,0,0,0
195,1,491,0,0,0.000306121176613181
195,2,495,0,0,0.00121457365954974
195,3,4,0,0,0
195,4,0,0,0,0
195,5,0,0,0,0
195,6,4,0,0,0
195,7,1,0,0,0
195,8,0,0,0,0
195,9,0,0,0,0
196,1,494,0,0,0.000304263403191525
196,2,495,0,0,0.00121457489628192
196,3,2,0,0,0
196,4,0,0,0,0
196,5,0,0,0,0
196,6,3,0,0,0
196,7,1,0,0,0
196,8,0,0,0,0
196,9,0,0,0,0
197,1,497,0,0,0.000302423065197568
197,2,494,0,0,0.00121703355242162
197,3,1,0,0,0
197,4,0,0,0,0
197,5,0,0,0,0
197,6,2,0,0,0
197,7,0,0,0,0
197,8,1,0,0,0
197,9,0,0,0,0
198,1,496,0,0,0.000303029078760479
198,2,494,0,0,0.00121703852945834
198,3,1,0,0,0
198,4,0,0,0,0
198,5,0,0,0,0
198,6,3,0,0,0
198,7,0,0,0,0
198,8,1,0,0,0
198,9,0,0,0,0
199,1,495,0,0,0.000303642482987395
199,2,495,0,0,0.00121457987581709
199,3,2,0,0,0
199,4,0,0,0,0
199,5,0,0,0,0
199,6,2,0,0,0
199,7,0,0,0,0
199,8,1,0,0,0
199,9,0,0,0,0
200,1,496,0,0,0.000303031537264087
200,2,495,0,0,0.00121457490884003
200,3,2,0,0,0
200,4,0,0,0,0
