time,state,patch1,patch2,patch3,patch4,patch5,patch6,patch7,patch8,patch9
282,Z,0.0474338716479289,0.147831741206514,1.58402477636095e-13,4.13537613734512e-13,2.17287349295056e-13,1.58402477636095e-13,4.13537613734512e-13,2.17287349295056e-13,1.58402477636095e-13
283,M,167.351514278545,198.584315110292,0,0,0,0,0,0,0
283,Y,0.144597312844811,0.554647001319399,0,0,0,0,0,0,0
283,Z,0.0471985724332475,0.147489341836395,1.42562229872486e-13,3.72183852361061e-13,1.9555861436555e-13,1.42562229872486e-13,3.72183852361061e-13,1.9555861436555e-13,1.42562229872486e-13
284,M,161.41636285069,194.925883599263,0,0,0,0,0,0,0
284,Y,0.143441067405908,0.563200322919013,0,0,0,0,0,0,0
284,Z,0.0471192841556836,0.14689568710554,1.28306006885237e-13,3.34965467124955e-13,1.76002752928995e-13,1.28306006885237e-13,3.34965467124955e-13,1.76002752928995e-13,1.28306006885237e-13
285,M,167.774726565621,192.533295239336,0,0,0,0,0,0,0
285,Y,0.142869179353767,0.569853031862933,0,0,0,0,0,0,0
285,Z,0.046886990333077,0.146381508846147,1.15475406196714e-13,3.01468920412459e-13,1.58402477636095e-13,1.15475406196714e-13,3.01468920412459e-13,1.58402477636095e-13,1.15475406196714e-13
286,M,160.897253909059,187.679965715403,0,0,0,0,0,0,0
286,Y,0.141736169630044,0.574370661998169,0,0,0,0,0,0,0
286,Z,0.0467619930573093,0.146341020253987,1.03927865577042e-13,2.71322028371214e-13,1.42562229872486e-13,1.03927865577042e-13,2.71322028371214e-13,1.42562229872486e-13,1.03927865577042e-13
287,M,167.307528518153,193.211969143863,0,0,0,0,0,0,0
287,Y,0.141213391891501,0.580253262128756,0,0,0,0,0,0,0
287,Z,0.0466706898769748,0.147147933443184,9.3535079019338e-14,2.44189825534092e-13,1.28306006885237e-13,9.3535079019338e-14,2.44189825534092e-13,1.28306006885237e-13,9.3535079019338e-14
288,M,169.476775666338,199.090772229476,0,0,0,0,0,0,0
288,Y,0.140975871269512,0.587477640124844,0,0,0,0,0,0,0
288,Z,0.0466768377594929,0.14776311230654,8.41815711174042e-14,2.19770842980683e-13,1.15475406196714e-13,8.41815711174042e-14,2.19770842980683e-13,1.15475406196714e-13,8.41815711174042e-14
289,M,175.929098099704,198.081695006529,0,0,0,0,0,0,0
289,Y,0.141291218930978,0.593777536022322,0,0,0,0,0,0,0
289,Z,0.0465323697793851,0.153743366417311,7.57634140056638e-14,1.97793758682615e-13,1.03927865577042e-13,7.57634140056638e-14,1.97793758682615e-13,1.03927865577042e-13,7.57634140056638e-14
290,M,179.036188289734,193.573525505876,0,0,0,0,0,0,0
290,Y,0.141829739873029,0.598220352214448,0,0,0,0,0,0,0
290,Z,0.0464621892186812,0.158918917625983,6.81870726050974e-14,1.78014382814353e-13,9.3535079019338e-14,6.81870726050974e-14,1.78014382814353e-13,9.3535079019338e-14,6.81870726050974e-14
291,M,184.53256946076,188.616172955288,0,0,0,0,0,0,0
291,Y,0.142764983232167,0.600833449490696,0,0,0,0,0,0,0
291,Z,0.0463131187715795,0.163271938115671,6.13683653445877e-14,1.60212944532918e-13,8.41815711174042e-14,6.13683653445877e-14,1.60212944532918e-13,8.41815711174042e-14,6.13683653445877e-14
292,M,181.379312514684,192.254555659759,0,0,0,0,0,0,0
292,Y,0.143318158307217,0.604133564145288,0,0,0,0,0,0,0
292,Z,0.0459590830672115,0.167100263199813,5.52315288101289e-14,1.44191650079626e-13,7.57634140056638e-14,5.52315288101289e-14,1.44191650079626e-13,7.57634140056638e-14,5.52315288101289e-14
293,M,178.541381263216,189.229100093783,0,0,0,0,0,0,0
293,Y,0.143583720362849,0.605975113743351,0,0,0,0,0,0,0
293,Z,0.0456377795392497,0.170742622800964,4.9708375929116e-14,1.29772485071663e-13,6.81870726050974e-14,4.9708375929116e-14,1.29772485071663e-13,6.81870726050974e-14,4.9708375929116e-14
294,M,175.987243136894,183.806190084405,0,0,0,0,0,0,0
294,Y,0.143584781131049,0.60596562017929,0,0,0,0,0,0,0
